SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"75096-1",6028015,1,"Medium Stone Grey","System",11833,"Plate Round 4X4 With Ø16Mm Hole","http://cache.lego.com/media/bricks/5/2/6028015.jpg",30
"75096-1",6037667,4,"Medium Stone Grey","System",13731,"Brick With Bow 1X10","http://cache.lego.com/media/bricks/5/2/6037667.jpg",9
"75096-1",6039346,2,"Medium Stone Grey","System",14413,"Facet Brick 4X4X1","http://cache.lego.com/media/bricks/5/2/6039346.jpg",9
"75096-1",6045988,6,"Medium Stone Grey","System",10247,"Plate 2X2 + One Hule Ø4,8","http://cache.lego.com/media/bricks/5/2/6045988.jpg",88
"75096-1",6071229,1,"Medium Stone Grey","System",15712,"Plate 1X1 W. Up Right Holder","http://cache.lego.com/media/bricks/5/2/6071229.jpg",107
"75096-1",6122857,1,"Medium Stone Grey","System (Printed Part)",23010,"Round Plate Ø64X9.6.'Deco. No. 2'","http://cache.lego.com/media/bricks/5/2/6122857.jpg",1
"75096-1",4211483,7,"Medium Stone Grey","Technic",4274,"Connector Peg W. Knob","http://cache.lego.com/media/bricks/5/2/4211483.jpg",624
"75096-1",4211622,1,"Medium Stone Grey","Technic",6590,"Bush For Cross Axle","http://cache.lego.com/media/bricks/5/2/4211622.jpg",554
"75096-1",6004888,1,"Medium Stone Grey","Technic",74695,"Beam 1X2 W/Cross And Hole","http://cache.lego.com/media/bricks/5/2/6004888.jpg",115
"75096-1",4541506,6,"New Dark Red","System",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/2/4541506.jpg",60
"75096-1",4624848,1,"Reddish Brown","System (Figure Part)",92756,"Qui-Gon Jinn Wig","http://cache.lego.com/media/bricks/5/2/4624848.jpg",5
"75096-1",6083231,1,"Reddish Brown","System (Figure Part)",18415,"Mini Lower Part 'No. 729'","http://cache.lego.com/media/bricks/5/2/6083231.jpg",3
"75096-1",6020554,1,"Sand Blue","System (Figure Part)",12246,"Watto No.1","http://cache.lego.com/media/bricks/5/2/6020554.jpg",2
"75096-1",6121843,1,"Sand Blue","System (Figure Part)",76382,"Mini Upper Part No 3097","http://cache.lego.com/media/bricks/5/2/6121843.jpg",1
"75096-1",6121893,1,"Sand Blue","System (Figure Part)",41879,"Mini Leg","http://cache.lego.com/media/bricks/5/2/6121893.jpg",2
"75096-1",4255416,1,"Sand Yellow","System",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/2/4255416.jpg",55
"75096-1",6040126,2,"Sand Yellow","System",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/2/6040126.jpg",25
"75096-1",6117456,1,"Sand Yellow","System (Figure Part)",21625,"Poncho No.1","http://cache.lego.com/media/bricks/4/2/6117456.jpg",1
"75096-1",6119361,1,"Sand Yellow","System (Figure Part)",40233,"Harry Potters Wig","http://cache.lego.com/media/bricks/5/2/6119361.jpg",5
"75096-1",6031821,3,"Sand Yellow","Technic",13670,"Crossaxle 3M With Knob","http://cache.lego.com/media/bricks/5/2/6031821.jpg",319
"75096-1",6055631,2,"Sand Yellow","Technic",15462,"Cross Axle 5M With End Stop","http://cache.lego.com/media/bricks/5/2/6055631.jpg",120
"75096-1",6051389,2,"Silver Ink","System",15556,"Light Sword Stock, No. '1000'","http://cache.lego.com/media/bricks/5/2/6051389.jpg",92
"75096-1",6150296,1,"Silver Metallic","System (Figure Part)",26448,"Final Brick 2X2 'No.1001'","http://cache.lego.com/media/bricks/5/2/6150296.jpg",8
"75096-1",4650498,3,"Transparent","System",98138,"Flat Tile 1X1, Round","http://cache.lego.com/media/bricks/5/2/4650498.jpg",176
"75096-1",4626400,1,"Transparent Bright Green","System",30374,"Light Sword - Blade","http://cache.lego.com/media/bricks/5/2/4626400.jpg",38
"75096-1",6057034,4,"Transparent Bright Green","System",30057,"Plate 1X1 Round","http://cache.lego.com/media/bricks/5/2/6057034.jpg",48
