SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"75094-1",6092446,2,"Black","System",93095,"Foot, Plate","http://cache.lego.com/media/bricks/5/2/6092446.jpg",5
"75094-1",370526,2,"Black","Technic",3705,"Cross Axle 4M","http://cache.lego.com/media/bricks/5/2/370526.jpg",995
"75094-1",373726,2,"Black","Technic",3737,"Cross Axle 10M","http://cache.lego.com/media/bricks/5/2/373726.jpg",435
"75094-1",4121715,52,"Black","Technic",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/2/4121715.jpg",1828
"75094-1",4140801,2,"Black","Technic",32054,"2M Fric. Snap W/Cross Hole","http://cache.lego.com/media/bricks/5/2/4140801.jpg",380
"75094-1",4173970,2,"Black","Technic",42003,"Cross Blok 3M","http://cache.lego.com/media/bricks/5/2/4173970.jpg",151
"75094-1",4512363,1,"Black","Technic",59443,"Cross Axle, Extension, 2M","http://cache.lego.com/media/bricks/5/2/4512363.jpg",261
"75094-1",6073231,6,"Black","Technic",15100,"Single Bush 2M Ø4,9","http://cache.lego.com/media/bricks/5/2/6073231.jpg",111
"75094-1",6112610,1,"Brick Yellow","System (Figure Part)",21018,"Camouflage Poncho No.1, 'No.1'","http://cache.lego.com/media/bricks/4/2/6112610.jpg",1
"75094-1",4514554,2,"Brick Yellow","Technic",32556,"3M Connector Peg","http://cache.lego.com/media/bricks/5/2/4514554.jpg",263
"75094-1",4206482,16,"Bright Blue","Technic",43093,"Conn.Bush W.Fric./Crossale","http://cache.lego.com/media/bricks/5/2/4206482.jpg",1261
"75094-1",4514553,27,"Bright Blue","Technic",6558,"Connector Peg W. Friction 3M","http://cache.lego.com/media/bricks/5/2/4514553.jpg",642
"75094-1",4157103,2,"Bright Orange","System",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/2/4157103.jpg",170
"75094-1",4654448,1,"Bright Orange","System",96874,"Element Seperator","http://cache.lego.com/media/bricks/5/2/4654448.jpg",424
"75094-1",6001806,4,"Bright Red","System",99207,"Angular Plate 1.5 Bot. 1X2 2/2","http://cache.lego.com/media/bricks/5/2/6001806.jpg",50
"75094-1",6030266,2,"Bright Red","System",47905,"Brick 1X1 W. 2 Knobs","http://cache.lego.com/media/bricks/5/2/6030266.jpg",21
"75094-1",4175442,2,"Bright Red","Technic",42003,"Cross Blok 3M","http://cache.lego.com/media/bricks/5/2/4175442.jpg",46
"75094-1",4227155,2,"Bright Red","Technic",6590,"Bush For Cross Axle","http://cache.lego.com/media/bricks/5/2/4227155.jpg",315
"75094-1",4599378,1,"Bright Yellow","System",30150,"Box 3X4","http://cache.lego.com/media/bricks/5/2/4599378.jpg",11
"75094-1",4187122,3,"Bright Yellow","Technic",43857,"Technic 2M Beam","http://cache.lego.com/media/bricks/5/2/4187122.jpg",31
"75094-1",4239601,12,"Bright Yellow","Technic",32123,"1/2 Bush","http://cache.lego.com/media/bricks/5/2/4239601.jpg",379
"75094-1",4632767,1,"Dark Brown","System (Figure Part)",64807,"Mini Wig No. 3","http://cache.lego.com/media/bricks/5/2/4632767.jpg",7
"75094-1",6058788,1,"Dark Brown","System (Figure Part)",76382,"Mini Upper Part No. 2586","http://cache.lego.com/media/bricks/5/2/6058788.jpg",9
"75094-1",6063666,1,"Dark Brown","System (Figure Part)",16781,"Creature No. 13 'Dec No 1'","http://cache.lego.com/media/bricks/5/2/6063666.jpg",7
"75094-1",6063675,1,"Dark Brown","System (Figure Part)",16782,"Mini Lower Part 'No. 632'","http://cache.lego.com/media/bricks/5/2/6063675.jpg",7
"75094-1",6112638,1,"Dark Brown","System (Figure Part)",21026,"Mini Lower Part 'No. 848'","http://cache.lego.com/media/bricks/5/2/6112638.jpg",1
"75094-1",4210631,6,"Dark Stone Grey","System",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/2/4210631.jpg",501
"75094-1",4210633,20,"Dark Stone Grey","System",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/2/4210633.jpg",348
"75094-1",4210639,2,"Dark Stone Grey","System",6541,"Technic Brick 1X1","http://cache.lego.com/media/bricks/5/2/4210639.jpg",151
"75094-1",4210763,2,"Dark Stone Grey","System",32530,"T-Beam W. Plate 1X2 W. Tube","http://cache.lego.com/media/bricks/5/2/4210763.jpg",172
"75094-1",4210848,2,"Dark Stone Grey","System",3070,"Flat Tile 1X1","http://cache.lego.com/media/bricks/5/2/4210848.jpg",164
"75094-1",4210917,4,"Dark Stone Grey","System",3894,"Technic Brick 1X6, Ø4,9","http://cache.lego.com/media/bricks/5/2/4210917.jpg",106
"75094-1",4210997,1,"Dark Stone Grey","System",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/2/4210997.jpg",333
"75094-1",4211001,2,"Dark Stone Grey","System",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/2/4211001.jpg",524
"75094-1",4211002,2,"Dark Stone Grey","System",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/2/4211002.jpg",521
"75094-1",4211053,3,"Dark Stone Grey","System",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/2/4211053.jpg",308
"75094-1",4211063,17,"Dark Stone Grey","System",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/2/4211063.jpg",619
