SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"75100-1",4211570,4,"Medium Stone Grey","System",3747,"Roof Tile 2X3/25° Inv.","http://cache.lego.com/media/bricks/5/2/4211570.jpg",123
"75100-1",4211614,4,"Medium Stone Grey","System",3040,"Roof Tile 1X2/45°","http://cache.lego.com/media/bricks/5/2/4211614.jpg",247
"75100-1",4211860,2,"Medium Stone Grey","System",3895,"Technic Brick 1X12, Ø4,9","http://cache.lego.com/media/bricks/5/2/4211860.jpg",49
"75100-1",4211881,4,"Medium Stone Grey","System",6134,"Plate 2X2 (Rocking)","http://cache.lego.com/media/bricks/5/2/4211881.jpg",214
"75100-1",4237084,4,"Medium Stone Grey","System",2476,"Plate 2X2 Inverted W. Snap","http://cache.lego.com/media/bricks/5/2/4237084.jpg",101
"75100-1",4243797,2,"Medium Stone Grey","System",3031,"Plate 4X4","http://cache.lego.com/media/bricks/5/2/4243797.jpg",209
"75100-1",4505087,1,"Medium Stone Grey","System",50955,"Left Shell 3X10","http://cache.lego.com/media/bricks/5/2/4505087.jpg",26
"75100-1",4505088,1,"Medium Stone Grey","System",50956,"Right Shell 3X10","http://cache.lego.com/media/bricks/5/2/4505088.jpg",26
"75100-1",4509915,4,"Medium Stone Grey","System",30363,"Roof Tile 2X4X1, 18°","http://cache.lego.com/media/bricks/5/2/4509915.jpg",36
"75100-1",4521921,2,"Medium Stone Grey","System",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/2/4521921.jpg",285
"75100-1",4556157,2,"Medium Stone Grey","System",60470,"Plate 1X2 W/Holder, Vertical","http://cache.lego.com/media/bricks/5/2/4556157.jpg",237
"75100-1",4558169,3,"Medium Stone Grey","System",63864,"Flat Tile 1X3","http://cache.lego.com/media/bricks/5/2/4558169.jpg",169
"75100-1",4568637,2,"Medium Stone Grey","System",85984,"Roof Tile 1 X 2 X 2/3, Abs","http://cache.lego.com/media/bricks/5/2/4568637.jpg",203
"75100-1",4598526,1,"Medium Stone Grey","System",92280,"Plate 1X2 W. Vertical Grip","http://cache.lego.com/media/bricks/5/2/4598526.jpg",246
"75100-1",4654580,2,"Medium Stone Grey","System",99207,"Angular Plate 1.5 Bot. 1X2 2/2","http://cache.lego.com/media/bricks/5/2/4654580.jpg",288
"75100-1",6011459,2,"Medium Stone Grey","System",3830,"Hinge 1X2 Upper Part","http://cache.lego.com/media/bricks/5/2/6011459.jpg",44
"75100-1",6015347,2,"Medium Stone Grey","System",11212,"Plate 3X3","http://cache.lego.com/media/bricks/5/2/6015347.jpg",52
"75100-1",6028813,4,"Medium Stone Grey","System",11477,"Plate W. Bow 1X2X2/3","http://cache.lego.com/media/bricks/5/2/6028813.jpg",98
"75100-1",6071229,1,"Medium Stone Grey","System",15712,"Plate 1X1 W. Up Right Holder","http://cache.lego.com/media/bricks/5/2/6071229.jpg",107
"75100-1",6093058,4,"Medium Stone Grey","System",18649,"Plate 1X2 W. 2 Shafts Ø 3.2","http://cache.lego.com/media/bricks/5/2/6093058.jpg",41
"75100-1",6102357,4,"Medium Stone Grey","System",15068,"Plate W. Bow  2X2X2/3","http://cache.lego.com/media/bricks/5/2/6102357.jpg",76
"75100-1",6102769,2,"Medium Stone Grey","System",19954,"Hinge Plate 1X2","http://cache.lego.com/media/bricks/5/2/6102769.jpg",40
"75100-1",6168633,1,"Medium Stone Grey","System",28809,"Plate 1X2 W. Horizontal Hole Ø4,85 Rev.","http://cache.lego.com/media/bricks/5/2/6168633.jpg",83
"75100-1",6170569,2,"Medium Stone Grey","System",28917,"Brick 1X1 W. Handle","http://cache.lego.com/media/bricks/5/2/6170569.jpg",23
"75100-1",4211483,2,"Medium Stone Grey","Technic",4274,"Connector Peg W. Knob","http://cache.lego.com/media/bricks/5/2/4211483.jpg",624
"75100-1",4211815,1,"Medium Stone Grey","Technic",4519,"Cross Axle 3M","http://cache.lego.com/media/bricks/5/2/4211815.jpg",875
"75100-1",6097090,2,"Medium Stone Grey","Technic (Constraction)",18587,"Six Shooter Trigger","http://cache.lego.com/media/bricks/5/2/6097090.jpg",40
"75100-1",6031821,1,"Sand Yellow","Technic",13670,"Crossaxle 3M With Knob","http://cache.lego.com/media/bricks/5/2/6031821.jpg",319
"75100-1",6062324,4,"Transparent","Technic",4185,"Wedge-Belt Wheel Ø24","http://cache.lego.com/media/bricks/5/2/6062324.jpg",8
"75100-1",6057034,27,"Transparent Bright Green","System",30057,"Plate 1X1 Round","http://cache.lego.com/media/bricks/5/2/6057034.jpg",48
"75100-1",3005741,7,"Transparent Red","System",30057,"Round Plate 1X1 - Tr.","http://cache.lego.com/media/bricks/5/2/3005741.jpg",987
"75100-1",306201,1,"White","System",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/2/306201.jpg",283
"75100-1",307001,2,"White","System",3070,"Flat Tile 1X1","http://cache.lego.com/media/bricks/5/2/307001.jpg",259
"75100-1",371001,4,"White","System",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/2/371001.jpg",716
"75100-1",459901,1,"White","System",4599,"Tap Ø4.9/6.4","http://cache.lego.com/media/bricks/5/2/459901.jpg",81
